Draft Year,Pick #,Player,Experience Level,Player Name,Position,Lane Agility,Shuttle Run,Three Quarter Sprint,Standing Vertical,Max Vertical,Bench Press,Season Year
2004,2,Emeka Okafor,Junior,Emeka Okafor,C-PF,12.32,-,3.15,31.5,34.0,22,2004-05
2004,3,Ben Gordon,Junior,Ben Gordon,PG-SG,11.28,-,3.19,31.5,37.5,12,2004-05
2004,4,Shaun Livingston,HS Senior,Shaun Livingston,PG-SG,10.72,-,3.23,26.5,30.0,-,2004-05
2004,5,Devin Harris,Junior,Devin Harris,PG,11.03,-,3.19,30.5,37.0,5,2004-05
2004,6,Josh Childress,Junior,Josh Childress,SG-SF,11.95,-,3.38,29.0,36.0,11,2004-05
2004,7,Luol Deng,Freshman,Luol Deng,SF,11.46,-,3.34,27.5,31.5,5,2004-05
2004,9,Andre Iguodala,Sophomore,Andre Iguodala,SG-SF,11.17,-,3.18,30.5,34.5,4,2004-05
2004,10,Luke Jackson,Senior,Luke Jackson,SF-SG,11.10,-,3.24,26.5,36.0,13,2004-05
2004,11,Andris Biedrins,International,Andris Biedrins,C,-,-,-,-,-,-,2004-05
2004,14,Kris Humphries,Freshman,Kris Humphries,PF,11.33,-,3.20,29.5,36.0,22,2004-05
2004,15,Al Jefferson,HS Senior,Al Jefferson,PF-SF,13.08,-,3.29,28.5,30.0,3,2004-05
